한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
소듐코코일아미노산,Sodium Cocoyl Amino Acids,,식약처 등재,,이 원료는 코코일클로라이드로 아실화 된 아미노산 혼합물의 소듐염이다.,,B (식약처)
소듐코코일알라니네이트,Sodium Cocoyl Alaninate,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다. RCO-는 코코넛애씨드에서 유래한 것이다.,,B (식약처)
소듐코코일이세티오네이트,Sodium Cocoyl Isethionate,,식약처 등재,,이 원료는 이세티오닉애씨드의 코코넛지방산에스터의 소듐염이다. RCO-는 코코넛오일로부터 유래된 지방산을 나타낸다.,소듐코코일이세치오네이트,B (식약처)
소듐코코일콜라겐아미노산,Sodium Cocoyl Collagen Amino Acids,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 콜라겐아미노산 축합반응물의 소듐염이다.,,B (식약처)
글리세릴스테아레이트시트레이트,Glyceryl Stearate Citrate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 글리세릴스테아레이트의 시트릭애씨드에스터이다.,,B (식약처)
소듐코코일하이드롤라이즈드귀리단백질,Sodium Cocoyl Hydrolyzed Oat Protein,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 가수분해된 귀리단백질과의 축합반응물의 소듐염이다.,,B (식약처)
소듐코코일하이드롤라이즈드밀단백질,Sodium Cocoyl Hydrolyzed Wheat Protein,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 가수분해된 밀 단백질의 축합반응물의 소듐염이다.,,B (식약처)
소듐코코일하이드롤라이즈드밀단백질글루타메이트,Sodium Cocoyl Hydrolyzed Wheat Protein Glutamate,,식약처 등재,,이 원료는 소듐코코일하이드롤라이즈드밀단백질과 글루타믹애씨드의 반응물이다.,,B (식약처)
소듐코코일하이드롤라이즈드실크,Sodium Cocoyl Hydrolyzed Silk,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 가수분해된 실크와의 축합반응물의 소듐염이다.,,B (식약처)
소듐코코일하이드롤라이즈드쌀단백질,Sodium Cocoyl Hydrolyzed Rice Protein,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 가수분해된 쌀 단백질과의 축합반응물의 소듐염이다.,,B (식약처)
소듐코코일하이드롤라이즈드콜라겐,Sodium Cocoyl Hydrolyzed Collagen,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 가수분해된 콜라겐과의 축합반응물의 소듐염이다.,,B (식약처)
소듐코코일하이드롤라이즈드콩단백질,Sodium Cocoyl Hydrolyzed Soy Protein,,식약처 등재,,이 원료는 코코넛애씨드클로라이드와 가수분해된 콩단백질과의 축합반응물의 소듐염이다.,,B (식약처)
소듐코코피지-다이모늄클로라이드포스페이트,Sodium Coco PG-Dimonium Chloride Phosphate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다. R은 코코넛오일에서 유래한 알킬 그룹이다.,소듐코코피지-디모늄클로라이드포스페이트,B (식약처)
소듐콘드로이틴설페이트,Sodium Chondroitin Sulfate,,식약처 등재,,이 원료는 천연의 뮤코폴리사카라이드 유도체이다.,,B (식약처)
소듐클로라이드,Sodium Chloride,,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
글리세릴스테아레이트에스이,Glyceryl Stearate SE,,식약처 등재,,이 원료는 자기유화형 글리세릴스테아레이트이며 소듐 및/또는 포타슘스테아레이트를 함유한다.,,B (식약처)
소듐탈로우에이트,Sodium Tallowate,,식약처 등재,,이 원료는 탈로우애씨드의 소듐염이다.,,B (식약처)
소듐토코페릴포스페이트,Sodium Tocopheryl Phosphate,,식약처 등재,,이 원료는 포스포릭애씨드와 토코페롤의 에스터의 혼합물의 소듐염이다.,,B (식약처)
소듐트라이데세스설페이트,Sodium Trideceth Sulfate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 황산화된 에톡실레이티드트라이데실알코올의 소듐염이다. n은 1~4이다.,소듐트리데세스설페이트,B (식약처)
소듐트라이데세스-3카복실레이트,Sodium Trideceth-3 Carboxylate,,식약처 등재,,이 원료는 트라이데세스-3카복실릭애씨드의 소듐염이다.,소듐트리데세스-3카복실레이트,B (식약처)
소듐트라이데세스-4카복실레이트,Sodium Trideceth-4 Carboxylate,,식약처 등재,,이 원료는 트라이데세스-4카복실릭애씨드의 소듐염이다.,소듐트리데세스-4카복실레이트,B (식약처)
소듐트라이데세스-7카복실레이트,Sodium Trideceth-7 Carboxylate,,식약처 등재,,이 원료는 트라이데세스-7카복실릭애씨드의 소듐염이다.,소듐트리데세스-7카복실레이트,B (식약처)
소듐/티이에이-라우로일콜라겐아미노산,Sodium/TEA-Lauroyl Collagen Amino Acids,,식약처 등재,,이 원료는 라우릭애씨드클로라이드와 콜라겐아미노산의 축합생산물의 트라이에탄올아민염과 소듐의 혼합물이다.,,B (식약처)
소듐C12-14알케스-3설페이트,Sodium C12-14 Alketh-3 Sulfate,,식약처 등재,,이 원료는 C12-14알케스-3의 설페이트에스터의 소듐염이다.,,B (식약처)
소듐C12-15알케스설페이트,Sodium C12-15 Alketh Sulfate,91648-56-5,식약처 등재,,이 원료는 주로 합성 C12-15 지방알코올 혼합물의 설페이티드폴리에칠렌글라이콜에텔의 소듐염이다.,,B (식약처)
소듐파이테이트,Sodium Phytate,,식약처 등재,,이 원료는 피틱애씨드의 혼합소듐염이다.,,B (식약처)
글리세릴아라키도네이트,Glyceryl Arachidonate,,식약처 등재,,이 원료는 다음의 구조를 갖는 글리세린과 아라키도닉애씨드의 모노에스터이다.,,B (식약처)
소듐팔메이트,Sodium Palmate,,식약처 등재,,이 원료는 기름야자 (Elaeis guineensis)의 오일에서 유래된 지방산의 소듐염이다.,,B (식약처)
소듐팔모일글루타메이트,Sodium Palmoyl Glutamate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 팔미토일글루타믹애씨드의 소듐염이다. RCO-는 팔모일라디칼이다.,,B (식약처)
소듐팔미테이트,Sodium Palmitate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 팔미틱애씨드의 소듐염이다.,,B (식약처)
소듐팔미토일사코시네이트,Sodium Palmitoyl Sarcosinate,,식약처 등재,,이 원료는 다음의 구조를 갖는 팔미토일사코신의 소듐염이다.,,B (식약처)
소듐팔미토일프롤린,Sodium Palmitoyl Proline,,식약처 등재,,이 원료는 팔미틱애씨드클로라이드와 프롤린의 축합반응물의 소듐염이다.,,B (식약처)
소듐팜글리세라이드설포네이트,Sodium Palm Glyceride Sulfonate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 화합물이다.,,B (식약처)
소듐팜커넬레이트,Sodium Palm Kernelate,,식약처 등재,,이 원료는 팜커넬오일에서 유래된 지방산의 소듐염이다.,,B (식약처)
소듐퍼설페이트,Sodium Persulfate,,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
소듐o-페닐페네이트,Sodium o-Phenylphenate,,식약처 등재,,이 원료는 다음의 구조를 갖는 o-페닐페놀의 소듐염이다.,,B (식약처)
소듐포메이트,Sodium Formate,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기염이다.,,B (식약처)
글리세릴아비에테이트,Glyceryl Abietate,,식약처 등재,,이 원료는 글리세린과 아비에틱애씨드의 모노에스터이다.,,B (식약처)
소듐포스페이트,Sodium Phosphate,,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
소듐포타슘알루미늄실리케이트,Sodium Potassium Aluminum Silicate,,식약처 등재,,이 원료는 자연적으로 생기거나 합성적으로 파생된 자원에서 정제된 혼합규산염이다.,,B (식약처)
소듐폴리나프탈렌설포네이트,Sodium Polynaphthalenesulfonate,,식약처 등재,,이 원료는 나프탈렌설포닉애씨드와 포름알데하이드의 축합중합 반응물의 소듐염이다.,,B (식약처)
소듐폴리메타크릴레이트,Sodium Polymethacrylate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 중합체이다.,,B (식약처)
소듐폴리스타이렌설포네이트,Sodium Polystyrene Sulfonate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 중합체이다.,,B (식약처)
소듐폴리아스파테이트,Sodium Polyaspartate,,식약처 등재,,이 원료는 아스파틱애씨드 폴리머의 소듐염이다.,,B (식약처)
소듐폴리아크릴레이트,Sodium Polyacrylate,,식약처 등재,,이 원료는 폴리아크릴릭애씨드의 소듐염이다.,,B (식약처)
소듐폴리아크릴레이트스타치,Sodium Polyacrylate Starch,,식약처 등재,,이 원료는 소듐아클리레이트 폴리머가 결합된 전분이다.,,B (식약처)
소듐폴리포스페이트,Sodium Polyphosphate,,식약처 등재,,이 원료는 폴리포스포릭애씨드의 소듐염이다.,,B (식약처)
소듐프로필파라벤,Sodium Propylparaben,,식약처 등재,,이 원료는 다음의 구조를 갖는 프로필파라벤의 소듐염이다.,,B (식약처)
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,Glyceryl Acrylate/Acrylic Acid Copolymer,,식약처 등재,,이 원료는 글리세릴아크릴레이트와 아크릴릭애씨드의 공중합체이다.,,B (식약처)
소듐피씨에이,Sodium PCA,,식약처 등재,,이 원료는 다음의 구조를 갖는 피롤리돈카복실릭애씨드(PCA)의 소듐염이다.,,B (식약처)
소듐피이지-7올리브오일카복실레이트,Sodium PEG-7 Olive Oil Carboxylate,,식약처 등재,,이 원료는 올리브오일 피이지-7에스터와 소듐모노클로로아세테이트의 반응물이다.,,B (식약처)
소듐피이지-4코카마이드설페이트,Sodium PEG-4 Cocamide Sulfate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
소듐하이드로설파이트,Sodium Hydrosulfite,,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
소듐하이드로제네이티드탈로우오일글루타메이트,Sodium Hydrogenated Tallowoyl Glutamate,,식약처 등재,,이 원료는 주로 글루타믹애씨드의 하이드로제네이티드탈로우애씨드아마이드의 소듐염이다.,,B (식약처)
소듐하이드록사이드,Sodium Hydroxide,,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염기이다.,,B (식약처)
소듐하이드록시메칠글리시네이트,Sodium Hydroxymethylglycinate,,식약처 등재,,이 원료는 다음의 구조를 갖는 치환된 아미노산의 소듐염이다.,,B (식약처)
소듐하이알루로네이트,Sodium Hyaluronate,,식약처 등재,,이 원료는 하이알루로닉애씨드의 소듐염이다.,,B (식약처)
소듐하이알루로네이트다이메틸실란올,Sodium Hyaluronate Dimethylsilanol,,식약처 등재,,이 원료는 하이알루로닉애씨드 에스터의 소듐염이다.,소듐하이알루로네이트디메칠실란올,B (식약처)
글리세릴에틸헥사노에이트/스테아레이트/아디페이트,Glyceryl Ethylhexanoate/Stearate/Adipate,,식약처 등재,,"이 원료는 2-에틸헥사노익애씨드, 스테아릭애씨드 및 아디픽애씨드의 혼합물을 에스터화한 글리세린이다.",글리세릴에칠헥사노에이트/스테아레이트/아디페이트,B (식약처)
소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,,식약처 등재,,이 원료는 비닐설폰과 가교된 하이알루로닉애씨드 중합체의 소듐염이다.,,B (식약처)
소듐하이포클로라이트,Sodium Hypochlorite,,식약처 등재,,이 원료는 다음의 구조를 갖는 하이포클로로우스애씨드의 소듐염이다.,,B (식약처)
소듐헥사메타포스페이트,Sodium Hexametaphosphate,,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
솔베스-30,Sorbeth-30,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 30몰인 솔비톨의 폴리에틸렌글라이콜에터이다.,소르베스-30,B (식약처)
솔베스-6라우레이트,Sorbeth-6 Laurate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 6몰인 솔비톨의 폴리에틸렌글라이콜에터와 라우릭애씨드의 에스터이다.,소르베스-6라우레이트,B (식약처)
솔베스-6비즈왁스,Sorbeth-6 Beeswax,,식약처 등재,,이 원료는 평균6몰의 에틸렌옥사이드와 비즈왁스에서 유래된 에톡실레이트솔비탄이다.,소르베스-6비즈왁스,B (식약처)
솔베스-20비즈왁스,Sorbeth-20 Beeswax,,식약처 등재,,이 원료는 평균 20몰의 에틸렌옥사이드와 비즈왁스에서 유래된 에톡실레이트솔비탄이다.,소르베스-20비즈왁스,B (식약처)
솔베스-60테트라스테아레이트,Sorbeth-60 Tetrastearate,,식약처 등재,,이 원료는 평균 20몰의 에틸렌옥사이드와 비즈왁스에서 유래된 에톡실레이트솔비탄이다.,소르베스-60테트라스테아레이트,B (식약처)
솔베스-4테트라올리에이트,Sorbeth-4 Tetraoleate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 4몰인 솔비톨의 폴리에틸렌글라이콜에터와 올레익애씨드의 테트라에스터이다.,소르베스-4테트라올리에이트,B (식약처)
솔베스-6테트라올리에이트,Sorbeth-6 Tetraoleate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 6몰인 솔비톨의 폴리에틸렌글라이콜에터와 올레익애씨드의 테트라에스터이다.,소르베스-6테트라올리에이트,B (식약처)
글리세릴올리베이트,Glyceryl Olivate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 RCO-기가 올리브오일에서 유래된 지방산과 글리세린의 모노에스터이다.,,B (식약처)
솔베스-30테트라올리에이트,Sorbeth-30 Tetraoleate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 30몰인 솔비톨의 폴리에틸렌글라이콜에터와 올레익애씨드의 테트라에스터이다.,소르베스-30테트라올리에이트,B (식약처)
솔베스-40테트라올리에이트,Sorbeth-40 Tetraoleate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 40몰인 솔비톨의 폴리에틸렌글라이콜에터와 올레익애씨드의 테트라에스터이다.,소르베스-40테트라올리에이트,B (식약처)
솔베스-60테트라올리에이트,Sorbeth-60 Tetraoleate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 60몰인 솔비톨의 폴리에틸렌글라이콜에터와 올레익애씨드의 테트라에스터이다.,소르베스-60테트라올리에이트,B (식약처)
솔베스-3트라이스테아레이트,Sorbeth-3 Tristearate,,식약처 등재,,이 원료는 에틸렌옥사이드가 평균 3몰인 솔비톨의 폴리에틸렌글라이콜에터와 스테아릭애씨드의 트라이에스터이다.,소르베스-3트리스테아레이트,B (식약처)
솔베스-6헥사스테아레이트,Sorbeth-6 Hexastearate,,식약처 등재,,이 원료는 평균 6몰의 에틸렌옥사이드를 포함하는 솔비톨의 폴리에틸렌글라이콜에터와 스테아릭애씨드의 헥사에스터이다.,소르베스-6헥사스테아레이트,B (식약처)
솔비탄라우레이트,Sorbitan Laurate,,식약처 등재,,이 원료는 다음의 구조를 갖는 솔비톨로 부터 얻은 헥시톨무수물과 라우릭애씨드이 모노에스터이다.,소르비탄라우레이트,B (식약처)
솔비탄세스퀴스테아레이트,Sorbitan Sesquistearate,,식약처 등재,,이 원료는 솔비톨에서 유래된 헥시톨안하이드라이드와 스테아릭애씨드의 모노 및 디에스터의 혼합물이다.,소르비탄세스퀴스테아레이트,B (식약처)
솔비탄세스퀴올리에이트,Sorbitan Sesquioleate,,식약처 등재,,이 원료는 솔비톨에서 유래된 헥시톨안하이드라이드와 올레익애씨드의 모노 및 다이에스터의 혼합물이다.,소르비탄세스퀴올리에이트,B (식약처)
솔비탄세스퀴아이소스테아레이트,Sorbitan Sesquiisostearate,,식약처 등재,,이 원료는 솔비톨에서 유래된 헥시톨안하이드라이드와 아이소스테아릭애씨드의 모노 및 디에스터의 혼합물이다.,소르비탄세스퀴이소스테아레이트,B (식약처)
솔비탄스테아레이트,Sorbitan Stearate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 솔비톨에서 유래된 헥시톨안하이드라이드와 스테아릭애씨드의 모노에스터이다.,소르비탄스테아레이트,B (식약처)
글리세릴올리에이트,Glyceryl Oleate,,식약처 등재,,이 원료는 글리세린과 올레익애씨드의 모노에스터이다. 주로 다음의 구조를 갖는다.,,B (식약처)
솔비탄올리베이트,Sorbitan Olivate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 솔비톨에서 유래한 헥시톨안하이드라이드와 올리브오일에서 유래한 지방산의 모노에스터이다. RCO-는 올리브오일에서 유래한 지방산이다.,소르비탄올리베이트,B (식약처)
솔비탄올리에이트,Sorbitan Oleate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 솔비톨로부터 얻은 헥시톨무수물과 올레익애씨드의 모노에스터이다.,소르비탄올리에이트,B (식약처)
솔비탄아이소스테아레이트,Sorbitan Isostearate,,식약처 등재,,이 원료는 솔비톨에서 얻은 헥시톨무수물과 아이소스테아릭애씨드의 모노에스터이다.,소르비탄이소스테아레이트,B (식약처)
솔비탄코코에이트,Sorbitan Cocoate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 솔비톨에서 유래한 헥시톨안하이드라이드와 코코넛애씨드의 모노에스터이다. RCO-는 코코넛오일에서 유래한 지방산이다.,소르비탄코코에이트,B (식약처)
솔비탄트라이스테아레이트,Sorbitan Tristearate,,식약처 등재,,이 원료는 솔비톨에서 유래된 헥시톨안하이드라이드와 스테아릭애씨드의 트라이에스터이다.,소르비탄트리스테아레이트,B (식약처)
솔비탄트라이올리에이트,Sorbitan Trioleate,,식약처 등재,,이 원료는 솔비톨에서 유래된 헥시톨안하이드라이드와 올레익애씨드의 트라이에스터이다.,소르비탄트리올리에이트,B (식약처)
솔비탄팔미테이트,Sorbitan Palmitate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 솔비톨에서 유래된 헥시톨안하이드라이드와 팔미틱애씨드의 모노에스터이다.,소르비탄팔미테이트,B (식약처)
솔비톨,Sorbitol,,식약처 등재,,이 원료는 다음의 구조를 갖는 헥사하이드릭알코올이다.,소르비톨,B (식약처)
솔비틸라우레이트,Sorbityl Laurate,,식약처 등재,,이 원료는 다음의 구조를 갖는 라우릭애씨드와 솔비톨의 에스터이다.,소르비틸라우레이트,B (식약처)
소르빅애씨드,Sorbic Acid,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 유기산이다.,,B (식약처)
글리세릴올리에이트/엘라이데이트,Glyceryl Oleate/Elaidate,,식약처 등재,,이 원료는 올레익과 엘라이딕애씨드와 모노글리세라이드의 혼합물이다.,,B (식약처)
소목껍질추출물,Caesalpinia Sappan Bark Extract,,식약처 등재,,이 원료는 소방목 (Caesalpinia sappan)의 껍질에서 추출한 것이다.,,B (식약처)
소시지트리열매추출물,Kigelia Africana Fruit Extract,,식약처 등재,,이 원료는 소시지트리 Kigelia africana의 열매에서 추출한 것이다.,소시지나무열매추출물,B (식약처)
소엽맥문동추출물스테아레이트,Ophiopogon Extract Stearate,,식약처 등재,,이 원료는 소엽맥문동 (Ophiopogon japonicus) 추출물 및 스테아릭애씨드의 반응물이다.,,B (식약처)
소이밀크,Soymilk,,식약처 등재,,"이 원료는 콩에서 유래하는 수용성 단백질, 탄수화물 및 대부분의 오일을 함유한 에멀젼이다.",,B (식약처)
소이스테롤아세테이트,Soy Sterol Acetate,,식약처 등재,,이 원료는 소이스테롤의 아세틱애씨드에스터이다.,,B (식약처)
소이아미노산,Soy Amino Acids,,식약처 등재,,이 원료는 콩 단백질의 완전 가수분해로 얻은 아미노산의 혼합물이다.,,B (식약처)
소이아미도프로필아민옥사이드,Soyamidopropylamine Oxide,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 3급 아민옥사이드이다.,,B (식약처)
소이에틸모르폴리늄에토설페이트,Soyethyl Morpholinium Ethosulfate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 4차암모늄염이다. R은 콩에서 얻은 알킬그룹이다.,소이에칠모폴리늄에토설페이트,B (식약처)
소이아이소플라본,Soy Isoflavones,,식약처 등재,,이 원료는 콩추출물에서 유래된 아이소플라본의 혼합물이며 주로 제니스테인과 다이드제인으로 구성된다.,소이이소플라본,B (식약처)
크리산텔룸 인디쿰추출물,Chrysanthellum Indicum Extract,,식약처 등재,,이 원료는 Chrysanthellum indicum의 지상부에서 추출한 것이다.,감국추출물,B (식약처)
글리세릴운데실레네이트,Glyceryl Undecylenate,,식약처 등재,,이 원료는 다음의 구조를 갖는 글리세린과 운데실레닉애씨드의 에스터이다.,글리세릴운데실리네이트,B (식약처)
소이트라이모늄클로라이드,Soytrimonium Chloride,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다. R은 콩에서 유래한 알킬 그룹이다.,소이트리모늄클로라이드,B (식약처)
속새잎/줄기추출물,Equisetum Hyemale Leaf/Stem Extract,,식약처 등재,,이 원료는 속새 Equisetum hyemale의 잎 및 줄기에서 추출한 것이다.,,B (식약처)
속새추출물,Equisetum Hyemale Extract,,식약처 등재,,이 원료는 속새 Equisetum Hyemale의 전초에서 추출한 것이다.,,B (식약처)
속수자씨추출물,Euphorbia Lathyris Seed Extract,,식약처 등재,,이 원료는 속수자 Euphorbia lathyris의 씨에서 추출한 것이다.,,B (식약처)
솔비나무줄기추출물,Maackia Fauriei Stem Extract,,식약처 등재,,이 원료는 솔비나무 Maackia fauriei의 줄기에서 추출한 것이다.,,B (식약처)
솔잣나무껍질추출물,Cupressus Sempervirens Bark Extract,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 껍질에서 추출한 것이다.,,B (식약처)
솔잣나무구과추출물,Cupressus Sempervirens Cone Extract,,식약처 등재,,이 원료는 솔잣나무 Cupressus sempervirens의 구과에서 추출한 것이다.,솔잣나무솔방울추출물,B (식약처)
솔잣나무씨추출물,Cupressus Sempervirens Seed Extract,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 씨에서 추출한 것이다.,,B (식약처)
솔잣나무열매추출물,Cupressus Sempervirens Fruit Extract,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 열매에서 추출한 것이다.,,B (식약처)
솔잣나무오일,Cupressus Sempervirens Oil,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 전초에서 얻은 휘발성 오일이다.,,B (식약처)
글리세릴아이소스테아레이트,Glyceryl Isostearate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 글리세린과 아이소스테아릭애씨드의 모노에스터이다.,글리세릴이소스테아레이트,B (식약처)
솔잣나무잎/너트/줄기오일,Cupressus Sempervirens Leaf/Nut/Stem Oil,,식약처 등재,,"이 원료는 솔잣나무 Cupressus sempervlrens의 너트(씨), 줄기 및 잎에서 얻은 식물성오일이다.",솔잣나무잎/넛트/줄기오일,B (식약처)
솔잣나무잎수,Cupressus Sempervirens Leaf Water,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 잎을 수증기 증류하여 얻은 수용액이다.,,B (식약처)
솔잣나무잎오일,Cupressus Sempervirens Leaf Oil,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 잎에서 얻은 휘발성 오일이다.,,B (식약처)
솔잣나무잎/줄기추출물,Cupressus Sempervirens Leaf/Stem Extract,,식약처 등재,,이 원료는 솔잣나무 (Cupressus sempervirens)의 잎 및 줄기에서 추출한 것이다.,,B (식약처)
솝위드뿌리추출물,Yucca Glauca Root Extract,,식약처 등재,,이 원료는 솝위드 (Yucca glauca)의 뿌리에서 추출한 것이다.,,B (식약처)
송이버섯추출물,Tricholoma Matsutake Extract,,식약처 등재,,이 원료는 송이버섯 (Tricholoma matsutake)에서 추출한 것이다.,,B (식약처)
쇠뜨기,Equisetum Arvense,,식약처 등재,,이 원료는 쇠뜨기 (Equisetum arvense)의 지상부 전초를 건조시킨 것이다.,,B (식약처)
쇠뜨기잎추출물,Equisetum Arvense Leaf Extract,,식약처 등재,,이 원료는 쇠뜨기 (Equisetum arvense)의 잎에서 추출한 것이다.,,B (식약처)
쇠뜨기추출물,Equisetum Arvense Extract,,식약처 등재,,이 원료는 쇠뜨기 (Equisetum arvense)에서 추출한 것이다.,,B (식약처)
수국잎추출물,Hydrangea Macrophylla Leaf Extract,,식약처 등재,,이 원료는 수국 (Hydrangea macrophylla)의 잎에서 추출한 것이다.,,B (식약처)
글리세릴아이소스테아레이츠,Glyceryl Isostearates,,식약처 등재,,"이 원료는 아이소스테아릭애씨드와 글리세린의 모노-, 다이- 및 트라이에스터의 혼합물이다.",글리세릴이소스테아레이트(혼합),B (식약처)
수레국화꽃,Centaurea Cyanus Flower,,식약처 등재,,이 원료는 수레국화 (Centaurea cyanus)의 건조된 꽃에서 유래한 식물성 물질이다.,,B (식약처)
수레국화꽃수,Centaurea Cyanus Flower Water,,식약처 등재,,이 원료는 수레국화 (Centaurea cyanus)의 꽃을 수증기 증류하여 얻은 수용액이다.,,B (식약처)
수레국화꽃추출물,Centaurea Cyanus Flower Extract,,식약처 등재,,이 원료는 수레국화 (Centaurea cyanus)의 꽃에서 추출한 것이다.,,B (식약처)
알바수련꽃추출물,Nymphaea Alba Flower Extract,,식약처 등재,,이 원료는 알바수련 Nymphaea alba의 꽃에서 추출한 것이다.,수련꽃추출물,B (식약처)
알바수련뿌리추출물,Nymphaea Alba Root Extract,,식약처 등재,,이 원료는 알바수련 Nymphaea alba의 뿌리에서 추출한 것이다.,수련뿌리추출물,B (식약처)
수마뿌리추출물,Pfaffia Paniculata Root Extract,,식약처 등재,,이 원료는 수마 (Pfaffia paniculata)의 뿌리에서 추출한 것이다.,,B (식약처)
수박씨오일,"Citrullus Lanatus (Watermelon) Seed Oil,Citrullus Vulgaris (Watermelon) Seed Oil",,식약처 등재,,이 원료는 수박 (Citrullus lanatus 및 Citrullus vulgaris)의 씨를 압착하여 얻은 오일이다.,,B (식약처)
수박추출물,"Citrullus Lanatus (Watermelon) Fruit Extract,Citrullus Vulgaris (Watermelon) Fruit Extract",,식약처 등재,,이 원료는 수박(Watermelon) Citrullus vulgaris(=Citrullus lanatus)에서 추출한 것이다.,,B (식약처)
수선화비늘줄기추출물,Narcissus Tazetta Bulb Extract,,식약처 등재,,이 원료는 수선화 (Narcissus tazetta)의 비늘줄기에서 추출한 것이다.,,B (식약처)
수선화추출물,Narcissus Tazetta Extract,,식약처 등재,,이 원료는 수선화 Narcissus Tazetta에서 추출한 것이다.,,B (식약처)
글리세릴티오글라이콜레이트,Glyceryl Thioglycolate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 글리세린과 티오글라이콜릭애씨드의 모노에스터이다.,글리세릴치오글라이콜레이트,B (식약처)
수세미오이씨오일,Luffa Cylindrica Seed Oil,,식약처 등재,,이 원료는 수세미오이 Luffa cylindrica의 씨를 압착하여 얻은 고정유(불휘발성 오일)이다.,수세미씨오일,B (식약처)
수세미오이,Luffa Cylindrica Fruit,,식약처 등재,,이 원료는 수세미오이 (Luffa cylindrica)에서 얻은 것이다.,,B (식약처)
수세미오이열매/잎/줄기추출물,Luffa Cylindrica Fruit/Leaf/Stem Extract,,식약처 등재,,"이 원료는 수세미오이 (Luffa cylindrica)의 열매, 잎과 줄기에서 추출한 것이다.",,B (식약처)
수세미오이추출물,Luffa Cylindrica Fruit Extract,,식약처 등재,,이 원료는 수세미오이 Luffa cylindrica의 열매에서 추출한 것이다.,수세미오이열매추출물,B (식약처)
수용성콜라겐,Soluble Collagen,,식약처 등재,,이 원료는 어린 동물의 연결조직에서 유래된 가수분해되지 않은 천연의 단백질이다. 이 원료는 성숙 콜라겐 전도체의 혼합물로 구성되어 있으며 주로 가교되지 않은 트리플헬리칼 구조를 가진다.,,B (식약처)
수퍼옥사이드디스뮤타아제,Superoxide Dismutase,,식약처 등재,,이 원료는 호기성 세포에서 발견된 메탈로엔자임의 혼합물이다.,,B (식약처)
순무잎추출물,Brassica Rapa (Turnip) Leaf Extract,,식약처 등재,,이 원료는 순무 (Brassica rapa)의 잎에서 추출한 것이다.,,B (식약처)
