한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
아크릴레이트/스테아레스-20메타크릴레이트코폴리머,Acrylates/Steareth-20 Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 혹은 그것들의 단순한 에스터 중 하나로 구성된 한 개 이상의 모노머와 메타크릴릭애씨드 및 스테아레스-20의 에스터의 공중합체이다.",,B (식약처)
아크릴레이트/스테아레스-20이타코네이트코폴리머,Acrylates/Steareth-20 Itaconate Copolymer,,식약처 등재,,"이 원료는 이타코닉애씨드와 스테아레스-20 의 하프에스터와 아크릴릭애씨드, 메타크릴릭애씨드 또는 그 단순에스터 중 1개 이상의 모노머로 이루어진 공중합체이다.",,B (식약처)
아크릴레이트/스테아릴메타크릴레이트코폴리머,Acrylates/Stearyl Methacrylate Copolymer,,식약처 등재,,"이 원료는 하나 이상의 아크릴릭애씨드, 메타크릴릭애씨드 모노머 또는 그 단순에스터와 스테아릴메타크릴레이트의 공중합체이다.",,B (식약처)
아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴애씨드, 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 스테아릴아크릴레이트, 다이메티콘메타크릴레이트의 공중합체이다.",아크릴레이트/스테아릴아크릴레이트/디메치콘메타크릴레이트코폴리머,B (식약처)
아크릴레이트/스테아릴아크릴레이트/에틸아민옥사이드메타크릴레이트코폴리머,Acrylates/Stearyl Acrylate/Ethylamine Oxide Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 스테아릴아크릴레이트, 에틸아민옥사이드메타크릴레이트의 공중합체이다.",아크릴레이트/스테아릴아크릴레이트/에칠아민옥사이드메타크릴레이트코폴리머,B (식약처)
아크릴레이트/아미노아크릴레이트/C10-30알킬피이지-20이타코네이트코폴리머,Acrylates/Aminoacrylates/C10-30 Alkyl PEG-20 Itaconate Copolymer,,식약처 등재,,"이 원료는 C10-30알킬피이지-20이타코네이트, C1-4알킬아미노아크릴레이트 및 아크릴릭애씨드, 메타크릴릭애씨드 또는 그 단순에스터 중 한개 이상의 모노머로 이루어진 공중합체이다.",,B (식약처)
아크릴레이트/아크릴아마이드코폴리머,Acrylates/Acrylamide Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그 단순에스터 중 1개 이상의 모노머와 아크릴아마이드와의 공중합체이다.",,B (식약처)
아크릴레이트/C12-22알킬메타크릴레이트코폴리머,Acrylates/C12-22 Alkyl Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 혹은 그것들의 단순한 에스터 중 하나로 구성된 한 개 이상의 모노머와 C12-22알킬메타크릴레이트의 공중합체이다.",,B (식약처)
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,,식약처 등재,,"이 원료는 슈크로오스의 알릴에텔 또는 펜타에리스리톨의 알릴에텔로 크로스링크된 한 개 이상의 단순 에스터 또는 아크릴릭애씨드, 메타크릴릭애씨드 중 하나로 구성된 한 개 이상의 모노머와 C10-30알킬아크릴레이트의 공중합체이다.",,B (식약처)
마조람꽃오일,Origanum Majorana Flower Oil,,식약처 등재,,이 원료는 마조람 Origanum majorana의 꽃에서 얻은 휘발성 오일이다.,꽃박하꽃오일,B (식약처)
